,Date,Time,Location,Store,Address
0,26 to 28 May,0600h to 1900h,Food Hub ,,455 Sengkang West Avenue
1,26 to 29 May,1000h to 2200h,Hougang Green Shopping Mall ,Fu Fa Food Court,21 Hougang Street 51
2,26 to 27 May,0900h to 1700h,Sri Murugan Trading Pte Ltd ,,308 Anchorvale Road
3,26 May,0900h to 2100h,NTUC Foodfare ,,308 Anchorvale Road
4,26 May,0905h to 1200h,McDonald's ,,293 Yishun Street 22
5,26 May,1040h to 1140h,Marsiling Lane Food Centre ,,20 Marsiling Lane
6,26 May,1130h to 2100h,Tiong Bahru Plaza ,328 Katong Laksa,298 Tiong Bahru Road
7,26 May,1320h to 1530h,NTUC FairPrice ,,301 Yishun Avenue 2
8,26 May,1355h to 1700h,VivoCity ,,1 HarbourFront Walk
9,26 May,1400h to 1430h,New Trendy Salon LLP ,,84 Redhill Lane
10,26 May,1430h to 1500h,One Commonwealth ,Passion Bike,1 Commonwealth Lane
11,26 May,1430h to 1535h,NTUC FairPrice ,,301 Yishun Avenue 2
12,26 May,1710h to 1740h,Giant ,,256 Bangkit Road
13,26 May,1850h to 2025h,Decathlon – Singapore Lab ,,230 Stadium Boulevard
14,26 May,2100h to 2130h,Wenxintang Spa ,,316B Ang Mo Kio Street 31
15,26 May,2115h to 2220h,People's Park Centre ,,101 Upper Cross Street
16,27 May,0000h to 0730h,NTUC Foodfare ,,308 Anchorvale Road
17,27 to 31 May,0000h to 2359h,Tuas Amenity Centre ,,71 Pioneer Road
18,27 to 28 May,0600h to 2100h,NTUC Foodfare ,,308 Anchorvale Road
19,27 to 28 May,0630h to 2200h,Hougang Green Shopping Mall ,Fu Fa Food Court,21 Hougang Street 51
20,27 May,0750h to 0820h,Sheng Siong Supermarket ,,417 Fernvale Link
21,27 May,0835h to 1105h,Marina Bay Sands ,Miu Miu,2 Bayfront Avenue
22,27 May,0900h to 2100h,NTUC Foodfare ,,308 Anchorvale Road
23,27 May,0905h to 1030h,Bukit Merah Community Centre ,,4000 Jalan Bukit Merah
24,27 May,0915h to 1400h,LeVel 33 ,,8 Marina Boulevard
25,27 May,0945h to 1100h,Jurong Port Pass/ Permit Office ,,37 Jurong Port Road
26,27 May,1100h to 2230h,Chop Joo Hiong Eating House ,,237 Serangoon Avenue 3
27,27 May,1125h to 1210h,United Square Shopping Mall ,,101 Thomson Road
28,27 May,1125h to 2035h,Tiong Bahru Plaza ,328 Katong Laksa,298 Tiong Bahru Road
29,27 May,1240h to 1345h,NTUC FairPrice ,,50 Havelock Road
30,27 May,1400h to 2200h,Atatcutz Singapore ,,348 Bedok Road
31,27 May,1605h to 1810h,Health Management Centre ,,809 French Road
32,27 May,1700h to 1730h,Sheng Siong Supermarket ,,200 Woodlands Industrial Park E7
33,27 May,1725h to 1825h,GP Motoring ,,282 Macpherson Road
34,27 May,1755h to 2030h,Lucky Plaza ,,304 Orchard Road
35,27 to 28 May,2030h to 0200h,ION Orchard ,Tiffany & Co.,2 Orchard Turn
36,27 May,2230h to 2300h,Atatcutz Singapore ,,348 Bedok Road
37,28 May,0800h to 1800h,Orchard Hotel Singapore ,,442 Orchard Road
38,28 May,0900h to 2100h,NTUC Foodfare ,,308 Anchorvale Road
39,28 May,1010h to 1155h,Carole Unisex Salon ,,620 Hougang Avenue 8
40,28 May,1100h to 2200h,Hougang Green Shopping Mall ,Pizza Hut,21 Hougang Street 51
41,28 to 31 May,1200h to 1900h,Atatcutz Singapore ,,348 Bedok Road
42,28 May,1300h to 1340h,Masjid Jamek Queenstown ,,946 Margaret Drive
43,28 May,1505h to 1540h,Fajar Shopping Centre ,Giant Supermarket,445 Fajar Road
44,28 May,1615h to 1650h,Sheng Siong Supermarket ,,455 Sengkang West Avenue
45,28 May,1830h to 2000h,Causeway Point ,,1 Woodlands Square
46,28 May,1845h to 1935h,Causeway Point ,POPULAR Bookstore,1 Woodlands Square
47,28 May,1930h to 0000h,NTUC Foodfare ,,308 Anchorvale Road
48,28 May,1955h to 2055h,Seletar Mall ,NTUC FairPrice,33 Sengkang West Avenue
49,28 May,2015h to 2120h,Woodlands Civic Centre ,NTUC FairPrice,900 South Woodlands Drive
50,29 May,0000h to 0730h,NTUC Foodfare ,,308 Anchorvale Road
51,29 May,0110h to 0530h,Marina Bay Sands Casino ,,10 Bayfront Avenue
52,29 May,0600h to 1300h,NTUC Foodfare ,,308 Anchorvale Road
53,29 May,0630h to 1300h,Hougang Green Shopping Mall ,Fu Fa Food Court,21 Hougang Street 51
54,29 May,0900h to 1135h,Marina Bay Sands ,Church's,2 Bayfront Avenue
